,review/profileName,review/time,review/overall,review/taste,review/palate,review/appearance,beer/name,beer/style,manual_labels,gpt4o,llama3-8b,llama3-70b
12248,review/profileName: tytoanderso,review/time: 1181347200,review/overall: 12/20,review/taste: 4/10,review/palate: 3/5,review/appearance: 3/5,beer/name: Barley Island Sheet Metal Blonde,beer/style: Belgian White (Witbier),YES,YES,NO,NO
24068,review/profileName: gam,review/time: 1319328000,review/overall: 13/20,review/taste: 7/10,review/palate: 3/5,review/appearance: 3/5,beer/name: Mountain Goat Seedy Goat Coffee IPA,beer/style: Spice/Herb/Vegetable,NO,NO,NO,NO
15005,review/profileName: anders37,review/time: 1262390400,review/overall: 12/20,review/taste: 6/10,review/palate: 3/5,review/appearance: 3/5,beer/name: Sharps Cornish Coaster,beer/style: Bitter,YES,YES,NO,YES
22530,review/profileName: beernovice39,review/time: 1304985600,review/overall: 17/20,review/taste: 8/10,review/palate: 4/5,review/appearance: 5/5,beer/name: The Duck-Rabbit Rabid Duck Russian Imperial Stout,beer/style: Imperial Stout,YES,NO,NO,NO
27987,review/profileName: NobleSquirrel,review/time: 1242172800,review/overall: 12/20,review/taste: 6/10,review/palate: 3/5,review/appearance: 4/5,beer/name: Barley Island Dirty Helen Brown Ale,beer/style: Brown Ale,NO,NO,NO,NO
28113,review/profileName: rederic,review/time: 1144195200,review/overall: 14/20,review/taste: 7/10,review/palate: 3/5,review/appearance: 3/5,beer/name: RJ Brune dAchouffe,beer/style: Belgian Strong Ale,YES,YES,YES,YES
15109,review/profileName: bretupdegraff,review/time: 1218672000,review/overall: 16/20,review/taste: 7/10,review/palate: 4/5,review/appearance: 5/5,beer/name: Barley Island Beastie Barrel Stout,beer/style: Stout,NO,NO,NO,NO
10941,review/profileName: nuplastikk,review/time: 1270425600,review/overall: 14/20,review/taste: 6/10,review/palate: 3/5,review/appearance: 5/5,beer/name: The Duck-Rabbit Porter,beer/style: Porter,NO,NO,NO,NO
28273,review/profileName: Sammy,review/time: 1290556800,review/overall: 10/20,review/taste: 4/10,review/palate: 3/5,review/appearance: 3/5,beer/name: Siboire Calvaire,beer/style: English Pale Ale,YES,NO,YES,NO
17837,review/profileName: emerica56,review/time: 1196035200,review/overall: 14/20,review/taste: 7/10,review/palate: 4/5,review/appearance: 5/5,beer/name: The Duck-Rabbit Amber Ale,beer/style: Amber Ale,NO,NO,NO,NO
20264,review/profileName: JAF737300,review/time: 1144886400,review/overall: 17/20,review/taste: 9/10,review/palate: 4/5,review/appearance: 3/5,beer/name: Chimay Bleue (Blue) / Grande Rserve,beer/style: Belgian Strong Ale,YES,YES,YES,YES
2641,review/profileName: Oddefellowe,review/time: 1262217600,review/overall: 6/20,review/taste: 2/10,review/palate: 3/5,review/appearance: 3/5,beer/name: The Duck-Rabbit Amber Ale,beer/style: Amber Ale,NO,NO,NO,NO
20024,review/profileName: golubj,review/time: 1205539200,review/overall: 14/20,review/taste: 7/10,review/palate: 3/5,review/appearance: 3/5,beer/name: Barley Island Sinister Minister Belgian Black Ale,beer/style: Traditional Ale,YES,YES,YES,YES
13595,review/profileName: cewldre,review/time: 1166486400,review/overall: 15/20,review/taste: 6/10,review/palate: 3/5,review/appearance: 4/5,beer/name: The Duck-Rabbit Milk Stout,beer/style: Sweet Stout,NO,NO,NO,NO
13415,review/profileName: altonbrownd,review/time: 1291939200,review/overall: 12/20,review/taste: 5/10,review/palate: 3/5,review/appearance: 3/5,beer/name: Brunehaut Villages Blonde,beer/style: Belgian Ale,YES,YES,YES,YES
2958,review/profileName: MXD,review/time: 1279497600,review/overall: 10/20,review/taste: 5/10,review/palate: 3/5,review/appearance: 3/5,beer/name: RJ Blanche de lle,beer/style: German Hefeweizen,YES,YES,YES,YES
13768,review/profileName: Sombeast,review/time: 1180224000,review/overall: 13/20,review/taste: 6/10,review/palate: 2/5,review/appearance: 5/5,beer/name: Barley Island Black Majic Java Stout,beer/style: Stout,NO,NO,NO,NO
18453,review/profileName: JJClark,review/time: 1150761600,review/overall: 18/20,review/taste: 10/10,review/palate: 5/5,review/appearance: 4/5,beer/name: Chimay Bleue (Blue) / Grande Rserve,beer/style: Belgian Strong Ale,YES,YES,YES,YES
8246,review/profileName: performula,review/time: 1190160000,review/overall: 14/20,review/taste: 7/10,review/palate: 3/5,review/appearance: 4/5,beer/name: The Duck-Rabbit Brown Ale,beer/style: Brown Ale,NO,NO,NO,NO
27700,review/profileName: beerbuzzmontreal,review/time: 1192579200,review/overall: 14/20,review/taste: 7/10,review/palate: 3/5,review/appearance: 3/5,beer/name: The Duck-Rabbit Wee Heavy Scotch Style Ale,beer/style: Scotch Ale,NO,NO,YES,NO
14400,review/profileName: tennessejed420,review/time: 1320796800,review/overall: 13/20,review/taste: 7/10,review/palate: 3/5,review/appearance: 3/5,beer/name: Brunehaut Abbaye de Saint-Martin Triple,beer/style: Abbey Tripel,YES,YES,YES,YES
27581,review/profileName: Dredd,review/time: 1265241600,review/overall: 16/20,review/taste: 8/10,review/palate: 4/5,review/appearance: 4/5,beer/name: Mountain Goat Rare Breed IPA,beer/style: India Pale Ale (IPA),NO,NO,NO,NO
1804,review/profileName: vtafro,review/time: 1270080000,review/overall: 13/20,review/taste: 7/10,review/palate: 5/5,review/appearance: 5/5,beer/name: The Duck-Rabbit Barleywine,beer/style: Barley Wine,NO,NO,NO,NO
8887,review/profileName: bierkoning,review/time: 1194393600,review/overall: 12/20,review/taste: 6/10,review/palate: 2/5,review/appearance: 3/5,beer/name: Het Klaverblad Phoenix Amersfoort Export 70-07,beer/style: Dortmunder/Helles,YES,YES,YES,YES
23591,review/profileName: harlequinn,review/time: 1091923200,review/overall: 8/20,review/taste: 5/10,review/palate: 2/5,review/appearance: 2/5,beer/name: Big River Grille Wowzers Summer Wheat,beer/style: Wheat Ale,NO,NO,NO,NO
5627,review/profileName: BleacherBum,review/time: 1173398400,review/overall: 16/20,review/taste: 8/10,review/palate: 4/5,review/appearance: 4/5,beer/name: The Duck-Rabbit Wee Heavy Scotch Style Ale,beer/style: Scotch Ale,NO,NO,YES,NO
6672,review/profileName: decaturstevo,review/time: 1317772800,review/overall: 16/20,review/taste: 7/10,review/palate: 4/5,review/appearance: 4/5,beer/name: Sonoran 200,beer/style: American Strong Ale,NO,NO,NO,NO
4785,review/profileName: berkshirejohn,review/time: 1299715200,review/overall: 10/20,review/taste: 6/10,review/palate: 2/5,review/appearance: 3/5,beer/name: Hebridean Berserker,beer/style: English Strong Ale,YES,YES,YES,YES
13130,review/profileName: BeerVirgin72,review/time: 1190160000,review/overall: 15/20,review/taste: 8/10,review/palate: 4/5,review/appearance: 5/5,beer/name: Chimay Triple / Blanche (White) / Cinq Cents,beer/style: Abbey Tripel,YES,YES,YES,YES
28461,review/profileName: thegreenrooster,review/time: 1297468800,review/overall: 14/20,review/taste: 7/10,review/palate: 3/5,review/appearance: 3/5,beer/name: Brunehaut Abbaye de Saint-Martin Blonde,beer/style: Belgian Ale,YES,YES,YES,YES
10366,review/profileName: talon1117,review/time: 1176508800,review/overall: 16/20,review/taste: 7/10,review/palate: 4/5,review/appearance: 4/5,beer/name: Chimay Rouge (Red) / Premire,beer/style: Abbey Dubbel,YES,YES,YES,YES
23412,review/profileName: madsberg,review/time: 1108080000,review/overall: 12/20,review/taste: 6/10,review/palate: 2/5,review/appearance: 3/5,beer/name: Chimay Dore / Refterbier,beer/style: Belgian Ale,YES,YES,YES,YES
2275,review/profileName: mhelgason,review/time: 1176768000,review/overall: 14/20,review/taste: 6/10,review/palate: 4/5,review/appearance: 4/5,beer/name: The Duck-Rabbit Brown Ale,beer/style: Brown Ale,NO,NO,NO,NO
7534,review/profileName: jonas,review/time: 1219190400,review/overall: 13/20,review/taste: 7/10,review/palate: 3/5,review/appearance: 4/5,beer/name: Staffelberg-Bru Heller Bock,beer/style: Heller Bock,YES,YES,YES,YES
9898,review/profileName: Savvy1982,review/time: 1244073600,review/overall: 14/20,review/taste: 7/10,review/palate: 4/5,review/appearance: 3/5,beer/name: Chimay Bleue (Blue) / Grande Rserve,beer/style: Belgian Strong Ale,YES,YES,YES,YES
7922,review/profileName: Bov,review/time: 1305763200,review/overall: 15/20,review/taste: 7/10,review/palate: 4/5,review/appearance: 5/5,beer/name: BraufactuM Darkon,beer/style: Schwarzbier,YES,YES,YES,YES
11973,review/profileName: douglas88,review/time: 1225670400,review/overall: 12/20,review/taste: 6/10,review/palate: 3/5,review/appearance: 3/5,beer/name: Kannah Creek Highside Hefeweizen,beer/style: German Hefeweizen,YES,YES,YES,YES
21688,review/profileName: CapFlu,review/time: 1152144000,review/overall: 13/20,review/taste: 6/10,review/palate: 3/5,review/appearance: 3/5,beer/name: Sailor Hagars Grizzly Nut Brown,beer/style: Brown Ale,NO,NO,NO,NO
27954,review/profileName: SuperDave,review/time: 1243036800,review/overall: 15/20,review/taste: 7/10,review/palate: 3/5,review/appearance: 4/5,beer/name: Barley Island Beastie Barrel Stout,beer/style: Stout,NO,NO,NO,NO
11833,review/profileName: awiseman01,review/time: 1264809600,review/overall: 12/20,review/taste: 5/10,review/palate: 2/5,review/appearance: 3/5,beer/name: Barley Island Black Majic Java Stout,beer/style: Stout,NO,NO,NO,NO
2718,review/profileName: BrianDorry55,review/time: 1278201600,review/overall: 14/20,review/taste: 6/10,review/palate: 3/5,review/appearance: 3/5,beer/name: Barley Island Barfly IPA,beer/style: India Pale Ale (IPA),NO,NO,NO,NO
6612,review/profileName: mjs,review/time: 1208736000,review/overall: 13/20,review/taste: 6/10,review/palate: 4/5,review/appearance: 4/5,beer/name: La Ramee Amber,beer/style: Abbey Tripel,NO,YES,NO,NO
14624,review/profileName: bchlala,review/time: 1225497600,review/overall: 17/20,review/taste: 7/10,review/palate: 4/5,review/appearance: 3/5,beer/name: Chimay Bleue (Blue) / Grande Rserve,beer/style: Belgian Strong Ale,YES,YES,YES,YES
20293,review/profileName: Beffrey2,review/time: 1170460800,review/overall: 16/20,review/taste: 7/10,review/palate: 4/5,review/appearance: 4/5,beer/name: The Duck-Rabbit Milk Stout,beer/style: Sweet Stout,NO,NO,NO,NO
22621,review/profileName: glkaiser,review/time: 1222214400,review/overall: 10/20,review/taste: 5/10,review/palate: 3/5,review/appearance: 4/5,beer/name: The Duck-Rabbit Baltic Porter,beer/style: Baltic Porter,NO,NO,YES,NO
23553,review/profileName: omhper,review/time: 1249516800,review/overall: 14/20,review/taste: 7/10,review/palate: 4/5,review/appearance: 3/5,beer/name: Staffelberg-Bru Hopfen-Gold Pils,beer/style: Pilsener,YES,YES,YES,YES
11858,review/profileName: maniac,review/time: 1244505600,review/overall: 9/20,review/taste: 4/10,review/palate: 2/5,review/appearance: 1/5,beer/name: Harar,beer/style: Pale Lager,NO,NO,NO,NO
24656,review/profileName: Cunningham,review/time: 1319932800,review/overall: 17/20,review/taste: 8/10,review/palate: 4/5,review/appearance: 4/5,beer/name: Chimay Bleue (Blue) / Grande Rserve,beer/style: Belgian Strong Ale,YES,YES,YES,YES
