,Unnamed: 0,isuserpublisher_hasannotations_hasmetadata_isofficial_subsetall_isdraft,licenseurl,subsetrateddeduplicated,isbestuniquearrangement,subsetdeduplicated,isbestarrangement,hascustomvideo,hascustomaudio,license,isuserstaff,subsetrated,haspaywall,isoriginal,isbestpath,haslyrics,publisher,isuserpro,israted,complexity,version,ncomments,ntracks,genres,rating,nratings,bestpath,bestarrangement,nfavorites,songlengthbars,bestuniquearrangement,groups,songlengthbeats,nannotations,grooveconsistency,artistname,songlength,scaleconsistency,nlyrics,songlengthseconds,tracks,composername,subtitle,tags,nviews,notesperbar,ntokens,nnotes,songname,title,pitchclassentropy,path_metadata,manual_labels,gpt4o,llama3-8b,llama3-70b
0,3711,isuserpublisher: Falsehasannotations: Truehasmetadata: Trueisofficial: Falsesubsetall: Trueisdraft: False,licenseurl: https://creativecommons.org/publicdomain/mark/1.0/,subsetrateddeduplicated: False,hascustomvideo: False,hascustomaudio: False,license: publicdomain,isbestuniquearrangement: False,isuserstaff: False,subsetdeduplicated: False,haspaywall: False,isoriginal: False,isbestpath: False,isbestarrangement: False,subsetrated: False,haslyrics: True,publisher: ,isuserpro: True,israted: False,groups: ,version: 3.01,ncomments: 0,complexity: 1,genres: folk,nratings: 0,ntracks: 1,nfavorites: 0,rating: 0.0,tags: ,bestpath: /data2/zachary/musescore/data/e/3/Qme3WZ6ck22BSG4zAqJ45mq13XL47Xi1ydFdVGz7TPqTjL.mscz,bestarrangement: /data2/zachary/musescore/data/e/3/Qme3WZ6ck22BSG4zAqJ45mq13XL47Xi1ydFdVGz7TPqTjL.mscz,nannotations: 10,tracks: 0,songlengthbars: 11,bestuniquearrangement: /data2/zachary/musescore/data/Z/z/QmZzodEZWNJwbD72P5A5GQZ7BJm68SQYhuVBrqqZemA1ng.mscz,artistname: Misc Traditional,subtitle: Sea shanty,songlengthbeats: 11,composername: anon.,scaleconsistency: 1.0,grooveconsistency: 0.9244791666666666,nviews: 4,nlyrics: 37,songlength: 15840,songlengthseconds: 16.499999999573753,notesperbar: 3.5454545454545454,ntokens: 86,nnotes: 39,songname: shenandoah,title: Shenandoah,pitchclassentropy: 2.542980337754308,path: ./data/R/a/QmRaRvNttbX6vnDy7PReggospP4rHmrFXVj2KPa3bRHTbx.jsonmetadata: ./metadata/7/4554846.json,NO,NO,NO,NO
1,1439,isuserpublisher: Falsehasannotations: Truehasmetadata: Trueisofficial: Falsesubsetall: Trueisdraft: False,bestuniquearrangement: /data2/zachary/musescore/data/V/2/QmV2RMMZuHxhgQqEUV98FpFGJ5mPuDVSXy36xRDW62c8S4.mscz,bestarrangement: /data2/zachary/musescore/data/V/2/QmV2RMMZuHxhgQqEUV98FpFGJ5mPuDVSXy36xRDW62c8S4.mscz,bestpath: /data2/zachary/musescore/data/V/2/QmV2RMMZuHxhgQqEUV98FpFGJ5mPuDVSXy36xRDW62c8S4.mscz,licenseurl: https://creativecommons.org/publicdomain/mark/1.0/,subsetrateddeduplicated: False,isbestuniquearrangement: False,subsetdeduplicated: False,isbestarrangement: False,artistname: Misc tunes,hascustomvideo: False,hascustomaudio: False,license: publicdomain,isuserstaff: False,subsetrated: False,haspaywall: False,isoriginal: False,isbestpath: False,haslyrics: False,isuserpro: True,israted: False,complexity: 1,version: 3.01,ncomments: 0,publisher: ,rating: 0.0,nratings: 0,ntracks: 1,nlyrics: 0,tracks: 0,genres: ,groups: ,nfavorites: 0,tags: ,composername: ,subtitle: ,nannotations: 4,songlengthbars: 32,songlengthseconds: 46.49999999879875,scaleconsistency: 0.9891304347826086,songlengthbeats: 94,nviews: 11,songlength: 44640,grooveconsistency: 0.9855072463768116,notesperbar: 2.875,nnotes: 92,ntokens: 96,songname: The Ash Grove,title: The Ash Grove,pitchclassentropy: 2.702969741218863,path: ./data/S/6/QmS6nzaSSFuXW6qVmiZwgxhqRsWQLCZKfx1rcfGey9qtw2.jsonmetadata: ./metadata/6/5126295.json,NO,NO,YES,NO
2,2780,isuserpublisher: Falsehasannotations: Truehasmetadata: Trueisofficial: Falsesubsetall: Trueisdraft: False,licenseurl: https://creativecommons.org/publicdomain/mark/1.0/,isbestuniquearrangement: True,subsetdeduplicated: True,subsetrateddeduplicated: False,hascustomvideo: False,hascustomaudio: False,license: publicdomain,isuserstaff: False,isbestarrangement: True,subsetrated: False,isoriginal: False,haspaywall: False,isbestpath: True,publisher: ,haslyrics: True,isuserpro: True,israted: False,complexity: 0,version: 3.01,genres: classical,ncomments: 0,groups: ,ntracks: 5,nratings: 0,nfavorites: 1,rating: 0.0,songlengthbars: 48,subtitle: ,tags: ,nannotations: 50,tracks: 0-0-0-0-0,songlengthbeats: 192,composername: ,grooveconsistency: 0.9822048611111112,scaleconsistency: 0.9573712255772646,artistname: Frederick Arthur Gore Ouseley,nviews: 90,songlength: 184320,songlengthseconds: 383.99999998048,nlyrics: 524,notesperbar: 12.0625,nnotes: 579,ntokens: 1153,bestpath: /data2/zachary/musescore/data/c/Y/QmcYoDu3run6MG6XXnGdmVyHApFddagoULDw2nH7oD1mR4.mscz,bestarrangement: /data2/zachary/musescore/data/c/Y/QmcYoDu3run6MG6XXnGdmVyHApFddagoULDw2nH7oD1mR4.mscz,bestuniquearrangement: /data2/zachary/musescore/data/c/Y/QmcYoDu3run6MG6XXnGdmVyHApFddagoULDw2nH7oD1mR4.mscz,songname: From the Rising of the Sun,title: From the Rising of the Sun - Frederick Arthur Gore Ouseley,pitchclassentropy: 2.928699768808385,path: ./data/c/Y/QmcYoDu3run6MG6XXnGdmVyHApFddagoULDw2nH7oD1mR4.jsonmetadata: ./metadata/6/5770875.json,YES,YES,YES,YES
3,7983,isuserpublisher: Falsehasannotations: Truehasmetadata: Trueisofficial: Falsesubsetall: Trueisdraft: False,licenseurl: https://creativecommons.org/publicdomain/mark/1.0/,subsetrateddeduplicated: False,isbestuniquearrangement: True,subsetdeduplicated: True,hascustomvideo: False,hascustomaudio: False,license: publicdomain,isuserstaff: False,subsetrated: False,haspaywall: False,isoriginal: False,isbestarrangement: True,israted: False,isbestpath: False,publisher: ,rating: 0.0,nratings: 0,haslyrics: True,isuserpro: True,complexity: 0,version: 3.01,ncomments: 0,genres: classical,groups: ,nfavorites: 0,ntracks: 4,songlengthbars: 69,nannotations: 42,subtitle: ,tags: ,tracks: 73-73-73-73,songlengthbeats: 276,bestpath: /data2/zachary/musescore/data/S/g/QmSgEVSLY6M8VLTzfR1sWBbPeVfwyhUobxu3emxXFSVN2y.mscz,grooveconsistency: 0.961904761904762,composername: Lasso ch'i ardo - Willaert,artistname: Adrian Willaert,songlength: 134400,scaleconsistency: 0.973474801061008,nviews: 19,nlyrics: 618,songlengthseconds: 141.06350945491627,bestarrangement: /data2/zachary/musescore/data/X/r/QmXrRBhAA9AAEa5cjb4EiwL6mYLjZEEsKU6wKmwHny88au.mscz,notesperbar: 10.942028985507246,nnotes: 755,ntokens: 1415,bestuniquearrangement: /data2/zachary/musescore/data/X/r/QmXrRBhAA9AAEa5cjb4EiwL6mYLjZEEsKU6wKmwHny88au.mscz,songname: Lasso ch'i ardo,title: Lasso ch'i ardo - Adrian Willaert,pitchclassentropy: 2.8693848778769246,path: ./data/X/r/QmXrRBhAA9AAEa5cjb4EiwL6mYLjZEEsKU6wKmwHny88au.jsonmetadata: ./metadata/2/5743779.json,YES,YES,YES,YES
4,8508,isuserpublisher: Falsehasannotations: Truehasmetadata: Trueisofficial: Falsesubsetall: Trueisdraft: False,licenseurl: https://creativecommons.org/publicdomain/zero/1.0/,isbestuniquearrangement: True,subsetdeduplicated: True,subsetrateddeduplicated: False,isuserstaff: False,isbestarrangement: True,license: cc-zero,hascustomvideo: False,hascustomaudio: False,subsetrated: False,haspaywall: False,isoriginal: False,isbestpath: False,haslyrics: False,isuserpro: True,publisher: ,israted: False,complexity: 0,version: 2.06,groups: brass-musescorehymntunelibrary,ncomments: 0,genres: classical,ntracks: 5,rating: 0.0,nratings: 0,nfavorites: 1,bestpath: /data2/zachary/musescore/data/Y/D/QmYDyY1t24M2VuspCc7SBbfSqSxPinnLrYidy8VLMvPn1A.mscz,songlengthbars: 16,tags: ,subtitle: ,songlengthbeats: 48,nlyrics: 0,nannotations: 1,composername: ,tracks: 19-56-56-57-58,artistname: Ralph Vaughan Williams,scaleconsistency: 0.9943181818181818,songlength: 92160,grooveconsistency: 0.9813368055555556,nviews: 36,songlengthseconds: 191.99999999024,bestarrangement: /data2/zachary/musescore/data/P/k/QmPkWbfQdCVRVhm7zSc9wxQ2b2GfsjBY1mvEFu2be6fTxv.mscz,ntokens: 365,notesperbar: 22.75,nnotes: 364,bestuniquearrangement: /data2/zachary/musescore/data/P/k/QmPkWbfQdCVRVhm7zSc9wxQ2b2GfsjBY1mvEFu2be6fTxv.mscz,songname: At the Name of Jesus,title: 356 First tune At The Name Of Jesus,pitchclassentropy: 2.7826303933957584,path: ./data/P/k/QmPkWbfQdCVRVhm7zSc9wxQ2b2GfsjBY1mvEFu2be6fTxv.jsonmetadata: ./metadata/0/5820614.json,YES,YES,YES,YES
5,8551,isuserpublisher: Falsehasannotations: Truehasmetadata: Trueisofficial: Falsesubsetall: Trueisdraft: False,licenseurl: https://creativecommons.org/publicdomain/zero/1.0/,isbestuniquearrangement: True,subsetdeduplicated: True,subsetrateddeduplicated: False,isuserstaff: False,isbestarrangement: True,license: cc-zero,hascustomvideo: False,hascustomaudio: False,subsetrated: False,haspaywall: False,isoriginal: False,isbestpath: False,haslyrics: False,isuserpro: True,publisher: ,israted: False,complexity: 0,version: 3.01,groups: nintendosheetmusic-videogameandanimemusic-videogamers-arrangements-videogamemusics,ncomments: 1,genres: ,ntracks: 3,rating: 0.0,nratings: 0,nfavorites: 6,bestpath: /data2/zachary/musescore/data/R/s/QmRsjq6ouiDruaRuoTA7vxLVj1AfqYtV8Ns7S1X8jrFoe4.mscz,songlengthbars: 110,tags: frozen-hillside-kirby-air-ride-nintendo-gamecube,subtitle: ,songlengthbeats: 440,nlyrics: 0,nannotations: 16,composername: ,tracks: 38-83-88,artistname: Shogo Sakai,scaleconsistency: 0.8946808510638298,songlength: 211200,grooveconsistency: 0.9479166666666666,nviews: 237,songlengthseconds: 162.9629629587883,bestarrangement: /data2/zachary/musescore/data/c/T/QmcTb7Vz4btD77zdwVKZPmVprGiVZPAgysVkgGK5heBBv1.mscz,ntokens: 1896,notesperbar: 17.09090909090909,nnotes: 1880,bestuniquearrangement: /data2/zachary/musescore/data/c/T/QmcTb7Vz4btD77zdwVKZPmVprGiVZPAgysVkgGK5heBBv1.mscz,songname: Frozen Hillside,title: Frozen Hillside,pitchclassentropy: 3.1466877213373428,path: ./data/c/T/QmcTb7Vz4btD77zdwVKZPmVprGiVZPAgysVkgGK5heBBv1.jsonmetadata: ./metadata/2/5894268.json,YES,YES,YES,YES
6,8503,isuserpublisher: Falsehasannotations: Truehasmetadata: Trueisofficial: Falsesubsetall: Trueisdraft: False,licenseurl: https://creativecommons.org/publicdomain/zero/1.0/,isbestuniquearrangement: True,subsetdeduplicated: True,subsetrateddeduplicated: False,isuserstaff: False,isbestarrangement: True,license: cc-zero,hascustomvideo: False,hascustomaudio: False,subsetrated: False,haspaywall: False,isoriginal: False,isbestpath: False,haslyrics: False,isuserpro: True,publisher: ,israted: False,complexity: 0,version: 2.06,groups: ,ncomments: 1,genres: classical,ntracks: 4,rating: 0.0,nratings: 0,nfavorites: 2,bestpath: /data2/zachary/musescore/data/P/H/QmPHP97a7i9e2GnRnZGrr4paPXL7K7stXMP1UBuwKK1svs.mscz,songlengthbars: 474,tags: ,subtitle: ,songlengthbeats: 1896,nlyrics: 0,nannotations: 1728,composername: W. A. MOZART,tracks: 0-40-41-42,artistname: W. A. Mozart),scaleconsistency: 0.9113309040430332,songlength: 941040,grooveconsistency: 0.8505045572916666,nviews: 40,songlengthseconds: 1306.9999999658728,bestarrangement: /data2/zachary/musescore/data/f/9/Qmf9JigpDKxCMN3SuB4eJaGWae286KwK7ewtWarJgWpABp.mscz,ntokens: 12211,notesperbar: 22.116033755274263,nnotes: 10483,bestuniquearrangement: /data2/zachary/musescore/data/f/9/Qmf9JigpDKxCMN3SuB4eJaGWae286KwK7ewtWarJgWpABp.mscz,songname: Piano Quartet in G minor K. 478,title: Piano Quartet in G minor K. 478 -Wolfgang Amadeus Mozart,pitchclassentropy: 3.140501610289144,path: ./data/f/9/Qmf9JigpDKxCMN3SuB4eJaGWae286KwK7ewtWarJgWpABp.jsonmetadata: ./metadata/0/2237406.json,YES,YES,YES,YES
7,7911,isuserpublisher: Falsehasannotations: Truehasmetadata: Trueisofficial: Falsesubsetall: Trueisdraft: False,licenseurl: https://creativecommons.org/publicdomain/mark/1.0/,subsetrateddeduplicated: False,isbestuniquearrangement: True,subsetdeduplicated: True,hascustomvideo: False,hascustomaudio: False,license: publicdomain,isuserstaff: False,subsetrated: False,haspaywall: False,isoriginal: False,isbestarrangement: True,israted: False,isbestpath: False,publisher: ,rating: 0.0,nratings: 0,haslyrics: True,isuserpro: True,complexity: 0,version: 3.01,ncomments: 0,genres: classical,groups: ,nfavorites: 0,ntracks: 3,songlengthbars: 22,nannotations: 13,subtitle: ,tags: ,tracks: 0-0-0,songlengthbeats: 77,bestpath: /data2/zachary/musescore/data/e/R/QmeRbgbbGMaqwdwaEBq3nwT5UXdPKbDauVaZs3Sf5pQhfR.mscz,grooveconsistency: 0.9543650793650794,composername: Hugo Distler,artistname: Hugo Distler,songlength: 41280,scaleconsistency: 0.9748743718592964,nviews: 39,nlyrics: 170,songlengthseconds: 56.08707844870739,bestarrangement: /data2/zachary/musescore/data/T/C/QmTCQBXJGUEBn7tnuw4pTwZhLmx1gYivBikRFLNopbVUdg.mscz,notesperbar: 9.136363636363637,nnotes: 201,ntokens: 384,bestuniquearrangement: /data2/zachary/musescore/data/T/C/QmTCQBXJGUEBn7tnuw4pTwZhLmx1gYivBikRFLNopbVUdg.mscz,songname: Komm heilger Geist o Schöpfer du,title: Komm heilger Geist o Schöpfer du - Hugo Distler,pitchclassentropy: 2.857956349141177,path: ./data/T/C/QmTCQBXJGUEBn7tnuw4pTwZhLmx1gYivBikRFLNopbVUdg.jsonmetadata: ./metadata/8/5755951.json,YES,YES,YES,YES
8,3527,isuserpublisher: Falsehasannotations: Truehasmetadata: Trueisofficial: Falsesubsetall: Trueisdraft: False,licenseurl: https://creativecommons.org/publicdomain/mark/1.0/,subsetrateddeduplicated: False,hascustomvideo: False,hascustomaudio: False,license: publicdomain,isbestuniquearrangement: False,isuserstaff: False,subsetdeduplicated: False,haspaywall: False,isoriginal: False,isbestpath: False,isbestarrangement: False,subsetrated: False,haslyrics: True,publisher: ,isuserpro: True,israted: False,groups: ,version: 3.01,ncomments: 0,complexity: 0,genres: classical,nratings: 0,ntracks: 2,nfavorites: 0,rating: 0.0,tags: ,bestpath: /data2/zachary/musescore/data/Y/K/QmYK34Tz9WMEABsoyXhCnaam9rSZn64GWn1CQPS62xcRzm.mscz,bestarrangement: /data2/zachary/musescore/data/R/8/QmR8piVqqME1tdPtYPhKFHEHRFgg7XiymPtHQSToyiP8D5.mscz,nannotations: 15,tracks: 73-73,songlengthbars: 26,bestuniquearrangement: /data2/zachary/musescore/data/a/S/QmaSBD1a1FyuzHG9rodT7Aj25sfUqXEkPAxv6h5Hd1guUU.mscz,artistname: Heinrich Schütz,subtitle: ,songlengthbeats: 52,composername: Psalm 142 (Becker) - Schütz,scaleconsistency: 0.9556451612903226,grooveconsistency: 0.953525641025641,nviews: 2,nlyrics: 62,songlength: 49920,songlengthseconds: 127.34719866125508,notesperbar: 9.692307692307692,ntokens: 329,nnotes: 252,songname: Ich schrei zu meinen lieben Gott SWV 247,title: Ich schrei zu meinen lieben Gott SWV 247 - Heinrich Schütz,pitchclassentropy: 2.939939802786395,path: ./data/U/g/QmUgnfsnLheNvSKBxQmqW8934e8LfVkNgQFDueHqw9HTHz.jsonmetadata: ./metadata/6/5758438.json,YES,YES,YES,YES
9,5280,isuserpublisher: Falsehasannotations: Truehasmetadata: Trueisofficial: Falsesubsetall: Trueisdraft: False,licenseurl: https://creativecommons.org/publicdomain/mark/1.0/,subsetrateddeduplicated: False,isbestuniquearrangement: False,subsetdeduplicated: False,isbestarrangement: False,hascustomvideo: False,hascustomaudio: False,license: publicdomain,isuserstaff: False,subsetrated: False,haspaywall: False,isoriginal: False,isbestpath: False,haslyrics: False,artistname: Misc tunes,isuserpro: True,israted: False,complexity: 1,version: 3.01,ncomments: 0,publisher: ,rating: 0.0,nratings: 0,ntracks: 1,nlyrics: 0,tracks: 0,genres: ,groups: ,bestarrangement: /data2/zachary/musescore/data/c/R/QmcR7Z9a9yj3XNxwWw3BXcyE9t4FWDJQrdwQvHpV2sXPMq.mscz,nfavorites: 0,bestpath: /data2/zachary/musescore/data/c/R/QmcR7Z9a9yj3XNxwWw3BXcyE9t4FWDJQrdwQvHpV2sXPMq.mscz,tags: ,bestuniquearrangement: /data2/zachary/musescore/data/c/R/QmcR7Z9a9yj3XNxwWw3BXcyE9t4FWDJQrdwQvHpV2sXPMq.mscz,nannotations: 4,songlengthbars: 36,composername: ,nviews: 2,scaleconsistency: 0.9864864864864864,songlengthbeats: 193,songlengthseconds: 23.99999999968,grooveconsistency: 0.9236111111111112,subtitle: ,songlength: 46080,notesperbar: 4.111111111111111,ntokens: 152,nnotes: 148,songname: The Speaking Figure. Roose.0187,title: The Speaking Figure. Roose.0187,pitchclassentropy: 2.736828287971644,path: ./data/P/V/QmPVHcYB3sWLceXj5TBG8Fg4Yh5pbc7PEEwMUHUTdVdKEi.jsonmetadata: ./metadata/8/4941707.json,NO,NO,NO,NO
