,path,metadata,hasmetadata,version,isuserpro,isuserpublisher,isuserstaff,haspaywall,israted,isofficial,isoriginal,isdraft,hascustomaudio,hascustomvideo,ncomments,nfavorites,nviews,nratings,rating,license,licenseurl,genres,groups,tags,songname,title,subtitle,artistname,composername,publisher,complexity,ntracks,tracks,songlength,songlengthseconds,songlengthbars,songlengthbeats,nnotes,notesperbar,nannotations,hasannotations,nlyrics,haslyrics,ntokens,pitchclassentropy,scaleconsistency,grooveconsistency,bestpath,isbestpath,bestarrangement,isbestarrangement,bestuniquearrangement,isbestuniquearrangement,subsetall,subsetrated,subsetdeduplicated,subsetrateddeduplicated,manual_labels,gpt4o,llama3-8b,llama3-70b
6252,path: ./data/R/a/QmRaRvNttbX6vnDy7PReggospP4rHmrFXVj2KPa3bRHTbx.json,metadata: ./metadata/7/4554846.json,hasmetadata: True,version: 3.01,isuserpro: True,isuserpublisher: False,isuserstaff: False,haspaywall: False,israted: False,isofficial: False,isoriginal: False,isdraft: False,hascustomaudio: False,hascustomvideo: False,ncomments: 0,nfavorites: 0,nviews: 4,nratings: 0,rating: 0.0,license: publicdomain,licenseurl: https://creativecommons.org/publicdomain/mark/1.0/,genres: folk,groups: ,tags: ,songname: shenandoah,title: Shenandoah,subtitle: Sea shanty,artistname: Misc Traditional,composername: anon.,publisher: ,complexity: 1,ntracks: 1,tracks: 0,songlength: 15840,songlengthseconds: 16.499999999573753,songlengthbars: 11,songlengthbeats: 11,nnotes: 39,notesperbar: 3.5454545454545454,nannotations: 10,hasannotations: True,nlyrics: 37,haslyrics: True,ntokens: 86,pitchclassentropy: 2.542980337754308,scaleconsistency: 1.0,grooveconsistency: 0.9244791666666666,bestpath: /data2/zachary/musescore/data/e/3/Qme3WZ6ck22BSG4zAqJ45mq13XL47Xi1ydFdVGz7TPqTjL.mscz,isbestpath: False,bestarrangement: /data2/zachary/musescore/data/e/3/Qme3WZ6ck22BSG4zAqJ45mq13XL47Xi1ydFdVGz7TPqTjL.mscz,isbestarrangement: False,bestuniquearrangement: /data2/zachary/musescore/data/Z/z/QmZzodEZWNJwbD72P5A5GQZ7BJm68SQYhuVBrqqZemA1ng.mscz,isbestuniquearrangement: False,subsetall: True,subsetrated: False,subsetdeduplicated: False,subsetrateddeduplicated: False,NO,NO,YES,NO
4684,path: ./data/S/6/QmS6nzaSSFuXW6qVmiZwgxhqRsWQLCZKfx1rcfGey9qtw2.json,metadata: ./metadata/6/5126295.json,hasmetadata: True,version: 3.01,isuserpro: True,isuserpublisher: False,isuserstaff: False,haspaywall: False,israted: False,isofficial: False,isoriginal: False,isdraft: False,hascustomaudio: False,hascustomvideo: False,ncomments: 0,nfavorites: 0,nviews: 11,nratings: 0,rating: 0.0,license: publicdomain,licenseurl: https://creativecommons.org/publicdomain/mark/1.0/,genres: ,groups: ,tags: ,songname: The Ash Grove,title: The Ash Grove,subtitle: ,artistname: Misc tunes,composername: ,publisher: ,complexity: 1,ntracks: 1,tracks: 0,songlength: 44640,songlengthseconds: 46.49999999879875,songlengthbars: 32,songlengthbeats: 94,nnotes: 92,notesperbar: 2.875,nannotations: 4,hasannotations: True,nlyrics: 0,haslyrics: False,ntokens: 96,pitchclassentropy: 2.702969741218863,scaleconsistency: 0.9891304347826086,grooveconsistency: 0.9855072463768116,bestpath: /data2/zachary/musescore/data/V/2/QmV2RMMZuHxhgQqEUV98FpFGJ5mPuDVSXy36xRDW62c8S4.mscz,isbestpath: False,bestarrangement: /data2/zachary/musescore/data/V/2/QmV2RMMZuHxhgQqEUV98FpFGJ5mPuDVSXy36xRDW62c8S4.mscz,isbestarrangement: False,bestuniquearrangement: /data2/zachary/musescore/data/V/2/QmV2RMMZuHxhgQqEUV98FpFGJ5mPuDVSXy36xRDW62c8S4.mscz,isbestuniquearrangement: False,subsetall: True,subsetrated: False,subsetdeduplicated: False,subsetrateddeduplicated: False,NO,NO,NO,NO
1731,path: ./data/c/Y/QmcYoDu3run6MG6XXnGdmVyHApFddagoULDw2nH7oD1mR4.json,metadata: ./metadata/6/5770875.json,hasmetadata: True,version: 3.01,isuserpro: True,isuserpublisher: False,isuserstaff: False,haspaywall: False,israted: False,isofficial: False,isoriginal: False,isdraft: False,hascustomaudio: False,hascustomvideo: False,ncomments: 0,nfavorites: 1,nviews: 90,nratings: 0,rating: 0.0,license: publicdomain,licenseurl: https://creativecommons.org/publicdomain/mark/1.0/,genres: classical,groups: ,tags: ,songname: From the Rising of the Sun,title: From the Rising of the Sun - Frederick Arthur Gore Ouseley,subtitle: ,artistname: Frederick Arthur Gore Ouseley,composername: ,publisher: ,complexity: 0,ntracks: 5,tracks: 0-0-0-0-0,songlength: 184320,songlengthseconds: 383.99999998048,songlengthbars: 48,songlengthbeats: 192,nnotes: 579,notesperbar: 12.0625,nannotations: 50,hasannotations: True,nlyrics: 524,haslyrics: True,ntokens: 1153,pitchclassentropy: 2.928699768808385,scaleconsistency: 0.9573712255772646,grooveconsistency: 0.9822048611111112,bestpath: /data2/zachary/musescore/data/c/Y/QmcYoDu3run6MG6XXnGdmVyHApFddagoULDw2nH7oD1mR4.mscz,isbestpath: True,bestarrangement: /data2/zachary/musescore/data/c/Y/QmcYoDu3run6MG6XXnGdmVyHApFddagoULDw2nH7oD1mR4.mscz,isbestarrangement: True,bestuniquearrangement: /data2/zachary/musescore/data/c/Y/QmcYoDu3run6MG6XXnGdmVyHApFddagoULDw2nH7oD1mR4.mscz,isbestuniquearrangement: True,subsetall: True,subsetrated: False,subsetdeduplicated: True,subsetrateddeduplicated: False,YES,YES,YES,YES
4742,path: ./data/X/r/QmXrRBhAA9AAEa5cjb4EiwL6mYLjZEEsKU6wKmwHny88au.json,metadata: ./metadata/2/5743779.json,hasmetadata: True,version: 3.01,isuserpro: True,isuserpublisher: False,isuserstaff: False,haspaywall: False,israted: False,isofficial: False,isoriginal: False,isdraft: False,hascustomaudio: False,hascustomvideo: False,ncomments: 0,nfavorites: 0,nviews: 19,nratings: 0,rating: 0.0,license: publicdomain,licenseurl: https://creativecommons.org/publicdomain/mark/1.0/,genres: classical,groups: ,tags: ,songname: Lasso ch'i ardo,title: Lasso ch'i ardo - Adrian Willaert,subtitle: ,artistname: Adrian Willaert,composername: Lasso ch'i ardo - Willaert,publisher: ,complexity: 0,ntracks: 4,tracks: 73-73-73-73,songlength: 134400,songlengthseconds: 141.06350945491627,songlengthbars: 69,songlengthbeats: 276,nnotes: 755,notesperbar: 10.942028985507246,nannotations: 42,hasannotations: True,nlyrics: 618,haslyrics: True,ntokens: 1415,pitchclassentropy: 2.8693848778769246,scaleconsistency: 0.973474801061008,grooveconsistency: 0.961904761904762,bestpath: /data2/zachary/musescore/data/S/g/QmSgEVSLY6M8VLTzfR1sWBbPeVfwyhUobxu3emxXFSVN2y.mscz,isbestpath: False,bestarrangement: /data2/zachary/musescore/data/X/r/QmXrRBhAA9AAEa5cjb4EiwL6mYLjZEEsKU6wKmwHny88au.mscz,isbestarrangement: True,bestuniquearrangement: /data2/zachary/musescore/data/X/r/QmXrRBhAA9AAEa5cjb4EiwL6mYLjZEEsKU6wKmwHny88au.mscz,isbestuniquearrangement: True,subsetall: True,subsetrated: False,subsetdeduplicated: True,subsetrateddeduplicated: False,YES,YES,YES,YES
4521,path: ./data/P/k/QmPkWbfQdCVRVhm7zSc9wxQ2b2GfsjBY1mvEFu2be6fTxv.json,metadata: ./metadata/0/5820614.json,hasmetadata: True,version: 2.06,isuserpro: True,isuserpublisher: False,isuserstaff: False,haspaywall: False,israted: False,isofficial: False,isoriginal: False,isdraft: False,hascustomaudio: False,hascustomvideo: False,ncomments: 0,nfavorites: 1,nviews: 36,nratings: 0,rating: 0.0,license: cc-zero,licenseurl: https://creativecommons.org/publicdomain/zero/1.0/,genres: classical,groups: brass-musescorehymntunelibrary,tags: ,songname: At the Name of Jesus,title: 356 First tune At The Name Of Jesus,subtitle: ,artistname: Ralph Vaughan Williams,composername: ,publisher: ,complexity: 0,ntracks: 5,tracks: 19-56-56-57-58,songlength: 92160,songlengthseconds: 191.99999999024,songlengthbars: 16,songlengthbeats: 48,nnotes: 364,notesperbar: 22.75,nannotations: 1,hasannotations: True,nlyrics: 0,haslyrics: False,ntokens: 365,pitchclassentropy: 2.7826303933957584,scaleconsistency: 0.9943181818181818,grooveconsistency: 0.9813368055555556,bestpath: /data2/zachary/musescore/data/Y/D/QmYDyY1t24M2VuspCc7SBbfSqSxPinnLrYidy8VLMvPn1A.mscz,isbestpath: False,bestarrangement: /data2/zachary/musescore/data/P/k/QmPkWbfQdCVRVhm7zSc9wxQ2b2GfsjBY1mvEFu2be6fTxv.mscz,isbestarrangement: True,bestuniquearrangement: /data2/zachary/musescore/data/P/k/QmPkWbfQdCVRVhm7zSc9wxQ2b2GfsjBY1mvEFu2be6fTxv.mscz,isbestuniquearrangement: True,subsetall: True,subsetrated: False,subsetdeduplicated: True,subsetrateddeduplicated: False,YES,YES,YES,YES
6340,path: ./data/c/T/QmcTb7Vz4btD77zdwVKZPmVprGiVZPAgysVkgGK5heBBv1.json,metadata: ./metadata/2/5894268.json,hasmetadata: True,version: 3.01,isuserpro: True,isuserpublisher: False,isuserstaff: False,haspaywall: False,israted: False,isofficial: False,isoriginal: False,isdraft: False,hascustomaudio: False,hascustomvideo: False,ncomments: 1,nfavorites: 6,nviews: 237,nratings: 0,rating: 0.0,license: cc-zero,licenseurl: https://creativecommons.org/publicdomain/zero/1.0/,genres: ,groups: nintendosheetmusic-videogameandanimemusic-videogamers-arrangements-videogamemusics,tags: frozen-hillside-kirby-air-ride-nintendo-gamecube,songname: Frozen Hillside,title: Frozen Hillside,subtitle: ,artistname: Shogo Sakai,composername: ,publisher: ,complexity: 0,ntracks: 3,tracks: 38-83-88,songlength: 211200,songlengthseconds: 162.9629629587883,songlengthbars: 110,songlengthbeats: 440,nnotes: 1880,notesperbar: 17.09090909090909,nannotations: 16,hasannotations: True,nlyrics: 0,haslyrics: False,ntokens: 1896,pitchclassentropy: 3.1466877213373428,scaleconsistency: 0.8946808510638298,grooveconsistency: 0.9479166666666666,bestpath: /data2/zachary/musescore/data/R/s/QmRsjq6ouiDruaRuoTA7vxLVj1AfqYtV8Ns7S1X8jrFoe4.mscz,isbestpath: False,bestarrangement: /data2/zachary/musescore/data/c/T/QmcTb7Vz4btD77zdwVKZPmVprGiVZPAgysVkgGK5heBBv1.mscz,isbestarrangement: True,bestuniquearrangement: /data2/zachary/musescore/data/c/T/QmcTb7Vz4btD77zdwVKZPmVprGiVZPAgysVkgGK5heBBv1.mscz,isbestuniquearrangement: True,subsetall: True,subsetrated: False,subsetdeduplicated: True,subsetrateddeduplicated: False,YES,YES,YES,YES
576,path: ./data/f/9/Qmf9JigpDKxCMN3SuB4eJaGWae286KwK7ewtWarJgWpABp.json,metadata: ./metadata/0/2237406.json,hasmetadata: True,version: 2.06,isuserpro: True,isuserpublisher: False,isuserstaff: False,haspaywall: False,israted: False,isofficial: False,isoriginal: False,isdraft: False,hascustomaudio: False,hascustomvideo: False,ncomments: 1,nfavorites: 2,nviews: 40,nratings: 0,rating: 0.0,license: cc-zero,licenseurl: https://creativecommons.org/publicdomain/zero/1.0/,genres: classical,groups: ,tags: ,songname: Piano Quartet in G minor K. 478,title: Piano Quartet in G minor K. 478 -Wolfgang Amadeus Mozart,subtitle: ,artistname: W. A. Mozart),composername: W. A. MOZART,publisher: ,complexity: 0,ntracks: 4,tracks: 0-40-41-42,songlength: 941040,songlengthseconds: 1306.9999999658728,songlengthbars: 474,songlengthbeats: 1896,nnotes: 10483,notesperbar: 22.116033755274263,nannotations: 1728,hasannotations: True,nlyrics: 0,haslyrics: False,ntokens: 12211,pitchclassentropy: 3.140501610289144,scaleconsistency: 0.9113309040430332,grooveconsistency: 0.8505045572916666,bestpath: /data2/zachary/musescore/data/P/H/QmPHP97a7i9e2GnRnZGrr4paPXL7K7stXMP1UBuwKK1svs.mscz,isbestpath: False,bestarrangement: /data2/zachary/musescore/data/f/9/Qmf9JigpDKxCMN3SuB4eJaGWae286KwK7ewtWarJgWpABp.mscz,isbestarrangement: True,bestuniquearrangement: /data2/zachary/musescore/data/f/9/Qmf9JigpDKxCMN3SuB4eJaGWae286KwK7ewtWarJgWpABp.mscz,isbestuniquearrangement: True,subsetall: True,subsetrated: False,subsetdeduplicated: True,subsetrateddeduplicated: False,YES,YES,YES,YES
5202,path: ./data/T/C/QmTCQBXJGUEBn7tnuw4pTwZhLmx1gYivBikRFLNopbVUdg.json,metadata: ./metadata/8/5755951.json,hasmetadata: True,version: 3.01,isuserpro: True,isuserpublisher: False,isuserstaff: False,haspaywall: False,israted: False,isofficial: False,isoriginal: False,isdraft: False,hascustomaudio: False,hascustomvideo: False,ncomments: 0,nfavorites: 0,nviews: 39,nratings: 0,rating: 0.0,license: publicdomain,licenseurl: https://creativecommons.org/publicdomain/mark/1.0/,genres: classical,groups: ,tags: ,songname: Komm heilger Geist o Schöpfer du,title: Komm heilger Geist o Schöpfer du - Hugo Distler,subtitle: ,artistname: Hugo Distler,composername: Hugo Distler,publisher: ,complexity: 0,ntracks: 3,tracks: 0-0-0,songlength: 41280,songlengthseconds: 56.08707844870739,songlengthbars: 22,songlengthbeats: 77,nnotes: 201,notesperbar: 9.136363636363637,nannotations: 13,hasannotations: True,nlyrics: 170,haslyrics: True,ntokens: 384,pitchclassentropy: 2.857956349141177,scaleconsistency: 0.9748743718592964,grooveconsistency: 0.9543650793650794,bestpath: /data2/zachary/musescore/data/e/R/QmeRbgbbGMaqwdwaEBq3nwT5UXdPKbDauVaZs3Sf5pQhfR.mscz,isbestpath: False,bestarrangement: /data2/zachary/musescore/data/T/C/QmTCQBXJGUEBn7tnuw4pTwZhLmx1gYivBikRFLNopbVUdg.mscz,isbestarrangement: True,bestuniquearrangement: /data2/zachary/musescore/data/T/C/QmTCQBXJGUEBn7tnuw4pTwZhLmx1gYivBikRFLNopbVUdg.mscz,isbestuniquearrangement: True,subsetall: True,subsetrated: False,subsetdeduplicated: True,subsetrateddeduplicated: False,YES,YES,YES,YES
6363,path: ./data/U/g/QmUgnfsnLheNvSKBxQmqW8934e8LfVkNgQFDueHqw9HTHz.json,metadata: ./metadata/6/5758438.json,hasmetadata: True,version: 3.01,isuserpro: True,isuserpublisher: False,isuserstaff: False,haspaywall: False,israted: False,isofficial: False,isoriginal: False,isdraft: False,hascustomaudio: False,hascustomvideo: False,ncomments: 0,nfavorites: 0,nviews: 2,nratings: 0,rating: 0.0,license: publicdomain,licenseurl: https://creativecommons.org/publicdomain/mark/1.0/,genres: classical,groups: ,tags: ,songname: Ich schrei zu meinen lieben Gott SWV 247,title: Ich schrei zu meinen lieben Gott SWV 247 - Heinrich Schütz,subtitle: ,artistname: Heinrich Schütz,composername: Psalm 142 (Becker) - Schütz,publisher: ,complexity: 0,ntracks: 2,tracks: 73-73,songlength: 49920,songlengthseconds: 127.34719866125508,songlengthbars: 26,songlengthbeats: 52,nnotes: 252,notesperbar: 9.692307692307692,nannotations: 15,hasannotations: True,nlyrics: 62,haslyrics: True,ntokens: 329,pitchclassentropy: 2.939939802786395,scaleconsistency: 0.9556451612903226,grooveconsistency: 0.953525641025641,bestpath: /data2/zachary/musescore/data/Y/K/QmYK34Tz9WMEABsoyXhCnaam9rSZn64GWn1CQPS62xcRzm.mscz,isbestpath: False,bestarrangement: /data2/zachary/musescore/data/R/8/QmR8piVqqME1tdPtYPhKFHEHRFgg7XiymPtHQSToyiP8D5.mscz,isbestarrangement: False,bestuniquearrangement: /data2/zachary/musescore/data/a/S/QmaSBD1a1FyuzHG9rodT7Aj25sfUqXEkPAxv6h5Hd1guUU.mscz,isbestuniquearrangement: False,subsetall: True,subsetrated: False,subsetdeduplicated: False,subsetrateddeduplicated: False,YES,YES,YES,YES
439,path: ./data/P/V/QmPVHcYB3sWLceXj5TBG8Fg4Yh5pbc7PEEwMUHUTdVdKEi.json,metadata: ./metadata/8/4941707.json,hasmetadata: True,version: 3.01,isuserpro: True,isuserpublisher: False,isuserstaff: False,haspaywall: False,israted: False,isofficial: False,isoriginal: False,isdraft: False,hascustomaudio: False,hascustomvideo: False,ncomments: 0,nfavorites: 0,nviews: 2,nratings: 0,rating: 0.0,license: publicdomain,licenseurl: https://creativecommons.org/publicdomain/mark/1.0/,genres: ,groups: ,tags: ,songname: The Speaking Figure. Roose.0187,title: The Speaking Figure. Roose.0187,subtitle: ,artistname: Misc tunes,composername: ,publisher: ,complexity: 1,ntracks: 1,tracks: 0,songlength: 46080,songlengthseconds: 23.99999999968,songlengthbars: 36,songlengthbeats: 193,nnotes: 148,notesperbar: 4.111111111111111,nannotations: 4,hasannotations: True,nlyrics: 0,haslyrics: False,ntokens: 152,pitchclassentropy: 2.736828287971644,scaleconsistency: 0.9864864864864864,grooveconsistency: 0.9236111111111112,bestpath: /data2/zachary/musescore/data/c/R/QmcR7Z9a9yj3XNxwWw3BXcyE9t4FWDJQrdwQvHpV2sXPMq.mscz,isbestpath: False,bestarrangement: /data2/zachary/musescore/data/c/R/QmcR7Z9a9yj3XNxwWw3BXcyE9t4FWDJQrdwQvHpV2sXPMq.mscz,isbestarrangement: False,bestuniquearrangement: /data2/zachary/musescore/data/c/R/QmcR7Z9a9yj3XNxwWw3BXcyE9t4FWDJQrdwQvHpV2sXPMq.mscz,isbestuniquearrangement: False,subsetall: True,subsetrated: False,subsetdeduplicated: False,subsetrateddeduplicated: False,NO,NO,NO,YES
