,description,verified_purchase,product_title_parent_asin,rating,review_title,text,id,manual_labels
5977,"description: ['Designed for covering led lightbar on your PS4 controller. Decals will not damage the controller in any way. PS4 lightbar decals helps lower the LED brightness and will not affect gameplay! 5-7 year high quality indoor/outdoor vinyl Precision die-cut decal with no background, not a cheap sticker. No ink, will not fade or run. Waterproof, self-adhesive, and removable Can be applied to any smooth surface. Clear application tape is used for easy and accurate placement. All decals are shipped masked and ready for application. *Controller not included*']",verified_purchase: True,product_title: 2x Custom Decal for a Ps4 PlayStation Controller Lightbar Your Name 4 Text LED Personalized LIGHT BAR Font gamertag gamer tagparent_asin: B0721LRYWZ,rating: 5.0,review_title: Got it for my bf,text: Fit perfectly and stays on with no problems!,id: 23081,POSITIVE
3327,description: ['4 - 8x10 UNFRAMED Prints'],product_title: Light Blue Inspiring Positive Affirmations Quotes Wall Decor - Inspirational Art Posters 8x10 - Encouraging Self Improvement Motivational Sayings - Uplifting Encouragement Gifts for Empowered Womenparent_asin: B0C59JSDS3,verified_purchase: True,rating: 1.0,review_title: Ok,text: they were literally just printed photos I could of printed them myself if I knew that . Waste of money,id: 81095,NEGATIVE
9182,"description: ['ORIGINAL WALL DECOR', 'At VintBo, we specialize in creating unique and memorable pieces of art that are sure to add a fun vintage style to your home decor.', 'ORIGINAL DICTIONARY PAGE', 'The artwork is printed an authentic antique dictionary page from the early to mid-1900’s. The pages that are used for each print are random pages from a vintage dictionary. Each page has a great antique look and feel. You will receive the exact image shown however the dictionary pages that are used will vary. This makes each print one of a kind, as no two pages will be exactly the same.', 'READY TO BE FRAMED', 'The prints DO NOT come framed, but will fit any standard 8x10 frame or any larger frame with an 8x10 matte.', 'GREAT AS A GIFT', 'Our prints make the perfect gift for wall decor for an office, home, bedroom, kitchen, college dorm, dining room, living room, family room, bathroom or even the gym. And they are a great wall decoration for any age: adults, students, kids.', 'HANDMADE IN THE USA', 'I personally create each design and carefully package each print with a protective plastic sleeve inside a rigid mailing envelope to protect the artwork during shipping. Each print measures at 8x10 inches', 'STURDY PACKAGING', 'Each print comes in an EXTRA sturdy envelope for support and protection from any damage during the shipping process.', 'SO MANY MORE DESIGNS', 'Check out the VINTAGE BOOK ART CO store at the top left of this page. I offer a very large variety of prints within my shop here on Amazon. My current print selections include; Vintage Dictionary Art Prints, Gold Foil Prints, Nursery Room Prints, Kids Bedroom Prints, Bathroom Prints, Kitchen Prints, Larger Scale prints and posters, and much more. Enjoy!']","product_title: Victorian Gentleman With Red Skull Mask and Octopus Vintage Dictionary Art Print, Antique Wall Art Home Decor, Boho Poster, Decoration Living Room Bedroom Office 8x10 Inches, Ready To Frameparent_asin: B01B41IZ5K",verified_purchase: True,rating: 5.0,review_title: Unique,text: Love it. Am planning to purchase more,id: 89079,POSITIVE
11678,"description: ['This is an upcycled print printed on an old dictionary page. We take old books about to be destroyed and upcycle them in order to give them new life. The aging, slightly-yellowed page is carefully removed, and the image is printed directly on the recycled paper. The result is a unique and absolutely beautiful print suitable for framing. These prints are definite conversation-starters and look just gorgeous while hanging on the wall. The pages are approximately 8.5 x 11 in size, with a very slight variation. No two are exactly the same, but all will fit nicely in an 8.5 x 11 frame. You will not get the exact dictionary page shown in the image, but you will get a print from the same book. Every piece is original. ***Frame is not included****. You will receive just the print. These vintage book prints make awesome, unique gifts and are environmentally responsible. All prints are shipped flat in rigid, stay-flat mailers and are protected in plastic sleeves.']",product_title: Cavedog the Corgi Rides a Velociraptor Dinosaur Dog Original Art Vintage Dictionary Page Book Art Printparent_asin: B075ZK2JZN,verified_purchase: True,rating: 5.0,review_title: Five Stars,text: Great gift idea for that friend who loves both corgis and velciraptors!,id: 27241,POSITIVE
653,"description: [""Artist hand made  .925 Sterling Silver tiny silver band (1.3mm) is handstamped with 'teeny and tiny' letters. *Individual ring - for multiple ring please add one item, go back and add 2nd *  **important, please double check on size and spelling of the names""]",product_title: Teeny Tiny Stacking Sterling Silver Ring By Hannah Design Personalized Ringparent_asin: B074R7BSN2,verified_purchase: True,rating: 5.0,review_title: Meaningful!,text: I love them !!!! Tiny and too cuteeeee!<br />Hopefully these last me long! Ill place more orders!!!,id: 25432,POSITIVE
6133,"description: ['Durable house numbers, available in both horizontal and vertical.  Crafted from weather-resistant materials that do not rust. Approximately 5-inch tall METAL-rustproof numbers ensure high visibility from the street, making your address easy to find.  This is a unique and thoughtful gift for new homeowners. Easy installation requiring only two holes to be drilled in the wall, you can quickly and easily display your address in style.  Please refer to the attached picture for detailed sizes.']",verified_purchase: True,product_title: House Numbers | Address number in Vertical and Horizontal mode | Address plaques for outside | Personalized gift | Housewarming gift idea | Address signs | Modern house numbersparent_asin: B083QNQGJZ,rating: 5.0,review_title: Classy,text: Very pleased with our new sign -- very classy looking and easy to hang.,id: 56640,POSITIVE
10855,"description: ['These Personalized dog collars are 100% handmade in the US! Custom Floral dog collars with bohemian twist. They are durable due to the zinc alloy metal buckle, slide-adjuster and large gauge D-ring, as well as our soft, yet heavyweight canvas webbing strap available In 1 inch width and 10mm (for XSmall). Our priority is to get a custom fit collar that fits just right and we ensure a long-lasting collar. These custom pet collars are laser-engraved on the font of your metal buckle; the text will appear matte white/light gray as seen in the photos. -------Designs------- 1. Berry Spring - This design pairs well with any of your spring outfits 2. Polka Dotted Pink - Bold and sassy for your girl dog, shows confidence and style. 3. Peach Floral - Where Floral and Boho style come together and make for a whimsy look. Our metal colors are Black, Gold, and Silver. ----Size----- X Small - 8-12"" inches (Most lap dogs and cats) Small - 10""-15"" Inches (Beagle, Cocker Spaniel, Pug) Medium - 12""-18"" Inches (Dalmatian, Springer Spaniel, Collie) Large - 15-22 (Boxer, German Shepherd, Old English Sheepdog, Labrador) X Large - 19-26 (English Mastiff, Large German Shepherd, Great Dane) For any custom sizing feel free to message the exact neck size for a perfect fit for no additional charge.']","product_title: Personalized Floral Dog Collar With Metal Buckle, Handmade Laser Engravedparent_asin: B08HPQHQ98",verified_purchase: True,rating: 5.0,review_title: Perfect!,text: This collar is perfect! It’s exactly what I wanted and precisely what was advertised. The engraving is beautiful and it came a week early! Thank you so much! I highly recommend!!! ♥️,id: 61310,POSITIVE
9037,"description: ['ORIGINAL WALL DECOR', 'At VintBo, we specialize in creating unique and memorable pieces of art that are sure to add a fun vintage style to your home decor.', 'ORIGINAL DICTIONARY PAGE', 'The artwork is printed an authentic antique dictionary page from the early to mid-1900’s. The pages that are used for each print are random pages from a vintage dictionary. Each page has a great antique look and feel. You will receive the exact image shown however the dictionary pages that are used will vary. This makes each print one of a kind, as no two pages will be exactly the same.', 'READY TO BE FRAMED', 'The prints DO NOT come framed, but will fit any standard 8x10 frame or any larger frame with an 8x10 matte.', 'GREAT AS A GIFT', 'Our prints make the perfect gift for wall decor for an office, home, bedroom, kitchen, college dorm, dining room, living room, family room, bathroom or even the gym. And they are a great wall decoration for any age: adults, students, kids.', 'HANDMADE IN THE USA', 'I personally create each design and carefully package each print with a protective plastic sleeve inside a rigid mailing envelope to protect the artwork during shipping. Each print measures at 8x10 inches', 'STURDY PACKAGING', 'Each print comes in an EXTRA sturdy envelope for support and protection from any damage during the shipping process.', 'SO MANY MORE DESIGNS', 'Check out the VINTAGE BOOK ART CO store at the top left of this page. I offer a very large variety of prints within my shop here on Amazon. My current print selections include; Vintage Dictionary Art Prints, Gold Foil Prints, Nursery Room Prints, Kids Bedroom Prints, Bathroom Prints, Kitchen Prints, Larger Scale prints and posters, and much more. Enjoy!']","product_title: Steampunk Cat Vintage Dictionary Art Print, Antique Wall Art Home Decor, Modern Boho Poster, Farmhouse Decoration Living Room Bedroom Office 8x10 Inches, Ready To Frameparent_asin: B015X3F4AE",verified_purchase: True,rating: 5.0,review_title: Cool Cat!,text: Bought this print as a gift for our grand daughter. Popped it into a black frame and hung on the wall in the kids room at our house.<br /> Every time she visits she makes sure 'her cat' is here.,id: 1217,POSITIVE
13954,description: ['faceted clear crystal glass stones are framed with gold accents. this pair gives you gorgeous acclaim. It has gold plated brass ear wires. total length is w.10mm x h. 22mm. It comes in a gift box.'],product_title: Clear Crystal Glass Drop Earringsparent_asin: B01GCT31PS,verified_purchase: True,rating: 4.0,review_title: Drop Earrings,text: Very nicr!,id: 11676,POSITIVE
10960,"description: ['These delightful little Doves are the ONLY AUTHENTIC REPLICAS OF THOSE IN THE HOME ALONE 2 MOVIE and come with a CERTIFICATE OF AUTHENTICITY and GIFT NOTE in an attractive JEWELRY STYLE GIFT BOX. Each bears the name of the artist and the copyright notice. They are approximately three inches in wingspan and two inches from beak tip to tail, the EXACT SIZE of those in the movie. A SILVERED CORD is INCLUDED but not attached. They are molded from ‘PELLUCIDA,’ our proprietary compound of resins that looks like porcelain, but unlike porcelain is very strong. They look so delicate and are as light as a feather, but they can withstand being dropped on the floor and other types of abuse. To appreciate the exquisite sculpting of these little birds, hold them up to a light. PLEASE NOTE: FOR RETURNS, SHIPPING TO YOU MAY NOT BE NOT INCLUDED']",product_title: HOME ALONE 2 DOVES PAIR AUTHENTIC REPLICAS USA made direct from John Perry who created them for the movieparent_asin: B077ZFRZCK,verified_purchase: True,rating: 5.0,review_title: Delicate,text: Bought this for my friend who moved to NYC this year. I have one and she has one. She loved it and they’re so delicate and pretty!,id: 30959,POSITIVE
