name,tot_req,tot_req[M],uniq_obj,%uniq_obj/tot_req,reads,writes,heads,copys,deletes,other,%reads/tot_req,%writes/tot_req,%heads/tot_req,%copys/tot_req,%delete/tot_req,%other/tot_req,get_once,%get_once/obj,write_only,%write_only/obj,head_no_reads,one_head_with_read,num_few_heads_with_reads,count_few_heads_with_reads,avg_head_get_time[ms],median_head_get_time[ms],avg_size,median_size,zero_size,size_up_1MB,size_1MB_10MB,size_10MB_100MB,size_100MB_1GB,size_1GB_10GB,size_above_10GB,per_obj_num_reads_eq_0,per_obj_num_reads_eq_1,per_obj_num_reads_2_10,per_obj_num_reads_10_100,per_obj_num_reads_100_1K,per_obj_num_reads_1K_10K,per_obj_num_reads_10K_100K,per_obj_num_reads_100K_1M,per_obj_num_reads_above_1M,per_get_time_diff_less_1sec,per_get_time_diff_1sec_1m,per_get_time_diff_1m_1h,per_get_time_diff_1h_24h,per_get_time_diff_above_24h,per_obj_avg_time_diff_less_1sec,per_obj_avg_time_diff_1sec_1m,per_obj_avg_time_diff_1m_1h,per_obj_avg_time_diff_1h_24h,per_obj_avg_time_diff_above_24h,per_obj_median_time_diff_less_1sec,per_obj_median_time_diff_1sec_1m,per_obj_median_time_diff_1m_1h,per_obj_median_time_diff_1h_24h,per_obj_median_time_diff_above_24h
IBMObjectStoreTrace000Part0,45822733,45.822733,205708,0.44892128105933793,962187,66010,44760170,10800,23566,0,2.0998027332852454,0.1440551352534996,97.68114442235472,0.023569087422175367,0.05142862168435043,0.0,13787,6.702218678904077,13787,13.761739942053786,43792819,894191,73160,23624,204.84656493955754,50,2504585.8390339706,59568.0,0,150630,44148,10730,168,32,0,154168,13787,25068,11679,906,99,1,0,0,1243,3632,6551,8645,17682,1243,3632,6551,8645,17682,1315,5297,7799,6662,16680
IBMObjectStoreTrace001Part0,1577730,1.57773,1085293,68.78825908108485,468959,629333,479438,0,0,0,29.72365360359504,39.88851070842286,30.3878356879821,0.0,0.0,0.0,438339,40.3890009426026,438339,57.92233065172262,10484,468920,34,17,129.66401883408645,85,47231.941626823354,6419,12284,1080531,4730,32,0,0,0,635744,438339,11210,0,0,0,0,0,0,0,69,41,10299,801,0,69,41,10299,801,0,69,41,10299,801
IBMObjectStoreTrace002Part0,376495,0.376495,415,0.11022722745321982,376250,126,0,0,119,0,99.93492609463605,0.033466579901459514,0.0,0.0,0.031607325462489545,0.0,0,0.0,0,25.301204819277107,0,0,0,0,0,0,1211377.7913486005,1301,0,302,91,0,0,0,0,127,0,2,3,3,280,0,0,0,0,0,3,4,281,0,0,3,4,281,0,0,3,4,281
IBMObjectStoreTrace003Part0,1513803,1.513803,11595,0.7659517123430195,1487695,12244,12539,1325,0,0,98.27533701545049,0.8088238694202615,0.8283112135462805,0.08752790158296687,0.0,0.0,1825,15.739542906425182,1825,12.186287192755497,8010,48,4481,895,2801860.7391304346,101922,4882358.587580854,71,0,10658,498,311,128,0,0,4407,1825,3819,1205,286,41,9,3,0,1119,2254,891,444,655,1119,2254,891,444,655,1350,2179,827,402,605
IBMObjectStoreTrace004Part0,9924707,9.924707,36227,0.36501833253112664,9900394,24313,0,0,0,0,99.75502551359955,0.24497448640045497,0.0,0.0,0.0,0.0,1826,5.040439451238027,1826,5.123250614182792,0,0,0,0,0,0,19873398.732961603,58254,0,22549,2698,10196,784,0,0,1856,1826,13419,13991,3752,1116,267,0,0,4422,9143,16370,2606,4,4422,9143,16370,2606,4,4824,11394,13908,2413,6
IBMObjectStoreTrace005Part0,53000000,53.0,99800,0.18830188679245283,223338,1,52776655,6,0,0,0.42139245283018867,1.8867924528301887e-06,99.57859433962264,1.1320754716981132e-05,0.0,0.0,473,0.4739478957915832,473,0.0,51913359,10352,852944,37486,156838.765312095,71538.0,3021100.359228457,66608.0,0,87771,8881,2602,538,8,0,96977,473,1098,1062,175,13,2,0,0,5,66,700,1579,0,5,66,700,1579,0,5,82,672,1591,0
IBMObjectStoreTrace005Part1,53000000,53.0,110091,0.20771886792452832,280718,10286,52699190,0,9806,0,0.5296566037735849,0.01940754716981132,99.43243396226416,0.0,0.018501886792452828,0.0,480,0.4360029430198654,480,0.0,51900030,71902,727258,31740,136716.8861947859,58348.5,2857219.071350065,69160,0,96874,9889,2772,548,8,0,97016,480,11027,1340,213,13,2,0,0,13,152,10538,1892,0,13,152,10538,1892,0,24,1947,8752,1872,0
IBMObjectStoreTrace005Part2,53000000,53.0,100377,0.18939056603773585,218976,100,52780868,12,44,0,0.41316226415094337,0.00018867924528301886,99.58654339622642,2.2641509433962265e-05,8.301886792452829e-05,0.0,492,0.49015212648315853,492,0.0,51961765,12542,806561,29948,129169.16895740174,61101.5,3057326.267322195,66836,0,88230,8962,2627,550,8,0,97476,492,1246,965,183,13,2,0,0,7,180,742,1480,0,7,180,742,1480,0,8,198,720,1483,0
IBMObjectStoreTrace005Part3,53000000,53.0,100333,0.18930754716981132,209348,0,52790652,0,0,0,0.39499622641509435,0.0,99.60500377358491,0.0,0.0,0.0,597,0.5950185881016216,597,0.0,52266495,12844,511313,24341,116342.90506924836,50967,3057110.179143452,66820,0,88203,8953,2619,550,8,0,97442,597,1209,902,168,13,2,0,0,57,121,710,1406,0,57,121,710,1406,0,67,128,698,1401,0
IBMObjectStoreTrace005Part4,53000000,53.0,100333,0.18930754716981132,207990,0,52792010,0,0,0,0.39243396226415095,0.0,99.60756603773585,0.0,0.0,0.0,632,0.6299024249249998,632,0.0,52267443,9828,514739,24657,122071.69839060461,49710,3057110.179143452,66820,0,88203,8953,2619,550,8,0,97442,632,1189,886,169,13,2,0,0,6,122,722,1409,0,6,122,722,1409,0,9,136,695,1419,0
IBMObjectStoreTrace005Part5,53000000,53.0,100335,0.189311320754717,218858,3,52781132,5,2,0,0.41293962264150946,5.660377358490566e-06,99.58704150943396,9.433962264150942e-06,3.7735849056603773e-06,0.0,622,0.6199232570887527,622,0.0,52081141,11734,688257,29287,121575.84978425685,51629,3057144.234584143,66820,0,88203,8955,2619,550,8,0,97429,622,1147,951,171,13,2,0,0,5,161,706,1412,0,5,161,706,1412,0,6,170,713,1395,0
IBMObjectStoreTrace005Part6,51602087,51.602087,100333,0.19443593434505857,196217,0,51405870,0,0,0,0.38025012437965927,0.0,99.61974987562034,0.0,0.0,0.0,375,0.3737553945361945,375,0.0,50654579,9388,741903,29404,132581.19565889874,59447.0,3057110.1804889715,66820,0,88203,8953,2619,550,8,0,97646,375,1164,965,168,13,2,0,0,7,73,672,1560,0,7,73,672,1560,0,7,76,679,1550,0
IBMObjectStoreTrace006Part0,4264766,4.264766,1567586,36.75667082320577,2132133,0,2132633,0,0,0,49.99413801366828,0.0,50.00586198633172,0.0,0.0,0.0,1026543,65.48559377284565,1026543,0.0,533,2124042,8058,4008,607.9219247668053,249.0,471.6271719701503,482.0,3,1567586,0,0,0,0,0,438,1026543,540605,0,0,0,0,0,0,518,5174,3581,42,531290,518,5174,3581,42,531290,525,7438,5095,0,527547
IBMObjectStoreTrace007Part0,4006426,4.006426,438400,10.942421000662437,2003169,0,2003257,0,0,0,49.998901764315626,0.0,50.001098235684374,0.0,0.0,0.0,0,0.0,0,0.0,189,1937856,65212,32322,387.37136390722054,364.0,754.9094571167883,620.0,0,438396,4,0,0,0,0,0,0,437000,1400,0,0,0,0,0,458,262393,2477,8500,164572,458,262393,2477,8500,164572,553,319187,3817,0,114843
IBMObjectStoreTrace008Part0,147348,0.147348,2,0.001357330944430871,147348,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,60434.0,60434.0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2
IBMObjectStoreTrace009Part0,2127925,2.1279250000000003,698856,32.842134943665776,619877,0,927386,0,580662,0,29.130584959526303,0.0,43.58170518227851,0.0,27.287709858195193,0.0,324,0.04636148219375666,324,0.0,249,387633,539504,230558,124.70583363394161,9,59983162.036363944,88153498.5,0,28877,2982,86335,0,0,0,580768,324,117764,0,0,0,0,0,0,0,2656,115108,0,0,0,2656,115108,0,0,0,12290,105474,0,0
IBMObjectStoreTrace010Part0,14126155,14.126155,7251438,51.33341663035695,199426,5759240,7234866,0,932623,0,1.4117500480491685,40.77004676785721,51.21610232933166,0.0,6.602100854761965,0.0,54586,0.7527610385691776,54586,0.8803771058926518,7221950,12916,0,0,29118074.80566739,6922132.5,5332295.9909580825,8388608.0,111580,2278566,4054443,91513,0,0,0,7154550,54586,41683,619,0,0,0,0,0,15852,21196,1009,3421,824,15852,21196,1009,3421,824,16508,20552,994,3426,822
IBMObjectStoreTrace011Part0,2423077,2.423077,334572,13.807732894992606,949874,288665,1080400,0,104138,0,39.20114796186832,11.913158351963226,44.58793509244651,0.0,4.29775859372195,0.0,94,0.02809559676243081,94,2.197434334014801,338,538859,541203,226680,68.77775789345807,8,16678104.45301502,4078643.5,0,81750,63231,86029,0,0,0,111112,94,222994,372,0,0,0,0,0,1947,185178,29934,6307,0,1947,185178,29934,6307,0,2020,197691,17510,5468,677
IBMObjectStoreTrace012Part0,22092715,22.092715000000002,84367,0.3818770123997888,18268216,60896,3755588,0,8015,0,82.6888682536302,0.27563837219644577,16.999214446934204,0.0,0.03627892723913742,0.0,0,0.0,0,6.9209525051264125,156803,2629313,969472,449930,161.38870819873586,6,78679736.73740715,52170803,16198,18241,2924,27296,28944,0,0,27850,0,5655,5349,45290,223,0,0,0,4341,2016,2038,38115,10007,4341,2016,2038,38115,10007,4341,2175,3793,42120,4088
