Vendor,Region,Name,Group,Tier,StartingRange,EndingRange,Unit,PricePerUnit
aws,ca-central-1,s3,get transfer,Non-Critical Data,0.0,inf,,0.01
aws,ap-east-1,s3,put request,Non-Critical Data,0.0,inf,,1e-05
aws,ap-northeast-2,s3,get request,Non-Critical Data,0.0,inf,,1e-06
aws,ap-northeast-1,s3,put request,Non-Critical Data,0.0,inf,,1e-05
aws,me-south-1,s3,get request,Non-Critical Data,0.0,inf,,1e-06
aws,ap-south-2,s3,put request,Infrequent Access,0.0,inf,,1e-05
aws,ap-northeast-3,s3,get transfer,Non-Critical Data,0.0,inf,,0.01
aws,us-east-1,s3,get transfer,Non-Critical Data,0.0,inf,,0.01
aws,eu-west-3,s3,get request,Non-Critical Data,0.0,inf,,1e-06
aws,eu-west-1,s3,put request,Non-Critical Data,0.0,inf,,1e-05
aws,eu-west-1,s3,storage,Non-Critical Data,0.0,1024.0,GB-Month,0.024
aws,eu-west-1,s3,storage,Non-Critical Data,1024.0,51200.0,GB-Month,0.0236
aws,eu-west-1,s3,storage,Non-Critical Data,51200.0,512000.0,GB-Month,0.0232
aws,eu-west-1,s3,storage,Non-Critical Data,512000.0,1024000.0,GB-Month,0.0228
aws,eu-west-1,s3,storage,Non-Critical Data,1024000.0,5120000.0,GB-Month,0.0224
aws,eu-west-1,s3,storage,Non-Critical Data,5120000.0,inf,GB-Month,0.022
aws,eu-south-2,s3,storage,Infrequent Access,0.0,inf,GB-Month,0.0125
aws,af-south-1,s3,get request,Non-Critical Data,0.0,inf,,1e-06
aws,us-gov-west-1,s3,storage,Infrequent Access,0.0,inf,GB-Month,0.016
aws,eu-central-1,s3,put request,Infrequent Access,0.0,inf,,1e-05
aws,us-east-1,s3,storage,Infrequent Access,0.0,inf,GB-Month,0.0125
aws,us-west-1,s3,get request,Infrequent Access,0.0,inf,,1e-06
aws,us-gov-east-1,s3,get transfer,Infrequent Access,0.0,inf,,0.01
aws,eu-west-2,s3,get request,General Purpose,0.0,inf,,4.2e-07
aws,ap-northeast-1,s3,get transfer,Non-Critical Data,0.0,inf,,0.01
aws,ap-northeast-2,s3,storage,General Purpose,0.0,51200.0,GB-Month,0.025
aws,ap-northeast-2,s3,storage,General Purpose,51200.0,512000.0,GB-Month,0.024
aws,ap-northeast-2,s3,storage,General Purpose,512000.0,inf,GB-Month,0.023
aws,us-west-2,s3,put request,Infrequent Access,0.0,inf,,1e-05
aws,me-south-1,s3,storage,Infrequent Access,0.0,inf,GB-Month,0.0138
aws,ap-northeast-3,s3,put request,General Purpose,0.0,inf,,4.7e-06
aws,eu-central-2,s3,storage,General Purpose,0.0,51200.0,GB-Month,0.02695
aws,eu-central-2,s3,storage,General Purpose,51200.0,512000.0,GB-Month,0.02585
aws,eu-central-2,s3,storage,General Purpose,512000.0,inf,GB-Month,0.02475
aws,sa-east-1,s3,get request,Non-Critical Data,0.0,inf,,1e-06
aws,us-east-2,s3,get transfer,Non-Critical Data,0.0,inf,,0.01
aws,af-south-1,s3,get transfer,Non-Critical Data,0.0,inf,,0.01
aws,ap-south-2,s3,storage,General Purpose,0.0,51200.0,GB-Month,0.025
aws,ap-south-2,s3,storage,General Purpose,51200.0,512000.0,GB-Month,0.024
aws,ap-south-2,s3,storage,General Purpose,512000.0,inf,GB-Month,0.023
aws,ap-southeast-3,s3,storage,Infrequent Access,0.0,inf,GB-Month,0.011
aws,eu-west-1,s3,storage,General Purpose,0.0,51200.0,GB-Month,0.023
aws,eu-west-1,s3,storage,General Purpose,51200.0,512000.0,GB-Month,0.022
aws,eu-west-1,s3,storage,General Purpose,512000.0,inf,GB-Month,0.021
aws,ap-south-1,s3,get transfer,Non-Critical Data,0.0,inf,,0.01
aws,eu-west-3,s3,storage,Infrequent Access,0.0,inf,GB-Month,0.01048
aws,me-south-1,s3,put request,Non-Critical Data,0.0,inf,,1e-05
